reference,office,opened,closed,case_type,band,worker,extract_date
CC-2024-23579,Weybridge,2024-08-03,2024-10-16,Standard,Low,W202,2026-01-14
CC-2024-90372,Calder Central,2024-08-30,2024-10-16,Complex,Medium,W115,2026-01-14
CC-2025-21776,Calder Central,2025-12-05,2025-12-29,Standard,High,W162,2026-01-14
CC-2025-23650,Northgate,2025-05-01,2025-07-12,Standard,Low,W109,2026-01-14
CC-2024-90736,Northgate,2024-07-20,2024-07-31,Expedited,Low,W108,2026-01-14
CC-2025-15333,Calder Central,2025-02-14,2025-04-19,Complex,Low,W189,2026-01-14
CC-2025-18526,Weybridge,2025-01-26,,Review,Low,W196,2026-01-14
CC-2024-18283,Northgate,2024-03-30,2024-05-02,Review,Low,W222,2026-01-14
CC-2025-20522,Weybridge,2025-09-16,2025-11-18,Standard,High,W114,2026-01-14
CC-2025-21237,Weybridge,2025-08-25,2025-10-25,Expedited,Medium,W106,2026-01-14
CC-2024-90328,Weybridge,2024-08-19,2024-12-02,Complex,Low,W252,2026-01-14
CC-2023-20887,Northgate,2023-09-24,2023-11-15,Appeal,,W170,2026-01-14
CC-2024-12998,Weybridge,2024-08-28,2024-10-20,Review,Low,W131,2026-01-14
CC-2023-20559,Calder Central,2023-12-03,2023-12-17,Standard,,W228,2026-01-14
CC-2025-90615,Northgate,2025-05-13,2025-07-26,Complex,Low,W139,2026-01-14
CC-2023-14211,Northgate,2023-07-16,2023-08-18,Standard,,W102,2026-01-14
CC-2025-21700,Calder Central,2025-07-22,2025-08-09,Standard,Low,W155,2026-01-14
CC-2024-20193,Northgate,2024-08-31,2024-10-07,Standard,Low,W102,2026-01-14
CC-2023-16928,Weybridge,2023-11-17,2024-01-31,Appeal,,W238,2026-01-14
CC-2025-18699,Weybridge,2025-12-08,,Expedited,Low,W166,2026-01-14
CC-2024-90077,Calder Central,2024-06-23,2024-07-05,Review,Medium,W243,2026-01-14
CC-2025-21604,Calder Central,2025-07-10,2025-10-24,Complex,Medium,W129,2026-01-14
CC-2024-13233,Calder Central,2024-07-10,2024-07-27,Standard,High,W101,2026-01-14
CC-2025-10918,Calder Central,2025-04-03,2025-05-05,Standard,Medium,W151,2026-01-14
CC-2023-16884,Calder Central,2023-08-01,2023-08-15,Expedited,,W205,2026-01-14
CC-2023-20618,Weybridge,2023-07-05,2023-07-27,Standard,,W121,2026-01-14
CC-2024-13659,Calder Central,2024-02-19,2024-02-26,Expedited,,W188,2026-01-14
CC-2023-21134,Weybridge,2023-08-10,2023-09-29,Standard,,W197,2026-01-14
CC-2024-19447,Weybridge,2024-02-03,2024-02-24,Standard,,W138,2026-01-14
CC-2025-15662,Calder Central,2025-11-14,2025-12-09,Standard,Low,W258,2026-01-14
CC-2025-18667,Calder Central,2025-07-28,2025-08-19,Standard,Low,W110,2026-01-14
CC-2024-22480,Northgate,2024-07-23,2024-11-19,Complex,Medium,W257,2026-01-14
CC-2024-19226,Northgate,2024-09-22,2024-10-10,Expedited,Low,W167,2026-01-14
CC-2024-90307,Calder Central,2024-01-22,2024-03-01,Review,,W160,2026-01-14
CC-2024-90713,Calder Central,2024-12-09,2025-01-05,Standard,Low,W219,2026-01-14
CC-2025-23726,Weybridge,2025-10-02,2025-12-15,Standard,Low,W132,2026-01-14
CC-2025-22116,Calder Central,2025-10-24,2025-12-13,Standard,Medium,W167,2026-01-14
CC-2024-90063,Northgate,2024-06-07,2024-07-02,Standard,Medium,W220,2026-01-14
CC-2024-10496,Calder Central,2024-03-21,2024-06-06,Standard,Medium,W123,2026-01-14
CC-2023-22214,Calder Central,2023-12-07,2023-12-18,Expedited,,W191,2026-01-14
CC-2025-90413,Calder Central,2025-06-24,2025-07-04,Expedited,Low,W114,2026-01-14
CC-2025-13504,Calder Central,2025-04-30,2025-05-23,Standard,High,W191,2026-01-14
CC-2025-18421,Northgate,2025-11-18,2025-11-29,Expedited,Medium,W192,2026-01-14
CC-2025-17651,Calder Central,2025-12-27,,Complex,Medium,W199,2026-01-14
CC-2024-10996,Weybridge,2024-01-26,2024-02-10,Standard,,W210,2026-01-14
CC-2024-21265,Weybridge,2024-11-01,2024-12-31,Standard,High,W122,2026-01-14
CC-2024-90626,Northgate,2024-11-01,2024-11-25,Complex,High,W205,2026-01-14
CC-2024-10084,Weybridge,2024-05-22,2024-06-02,Expedited,Low,W136,2026-01-14
CC-2025-11906,Northgate,2025-03-15,2025-05-11,Appeal,Low,W120,2026-01-14
CC-2024-90227,Weybridge,2024-11-15,2025-01-28,Complex,High,W158,2026-01-14
CC-2025-11940,Calder Central,2025-06-12,2025-06-29,Standard,Medium,W114,2026-01-14
CC-2025-21613,Calder Central,2025-01-11,2025-02-12,Review,Medium,W108,2026-01-14
CC-2024-90507,Weybridge,2024-12-11,2025-04-21,Review,High,W223,2026-01-14
CC-2025-10685,Northgate,2025-12-22,,Standard,Low,W164,2026-01-14
CC-2024-10958,Weybridge,2024-03-23,2024-06-17,Complex,Medium,W193,2026-01-14
CC-2025-90290,Northgate,2025-01-27,2025-05-17,Review,Medium,W254,2026-01-14
CC-2024-12177,Calder Central,2024-12-29,2025-01-07,Expedited,Low,W146,2026-01-14
CC-2024-90106,Calder Central,2024-03-11,2024-03-23,Standard,High,W111,2026-01-14
CC-2024-14271,Calder Central,2024-09-15,2024-09-26,Expedited,Low,W216,2026-01-14
CC-2024-15607,Calder Central,2024-05-01,2024-05-22,Standard,High,W121,2026-01-14
CC-2025-17827,Weybridge,2025-02-15,2025-05-03,Standard,High,W175,2026-01-14
CC-2025-16146,Calder Central,2025-04-19,2025-05-09,Standard,Low,W190,2026-01-14
CC-2024-10584,Calder Central,2024-08-29,2024-09-29,Expedited,High,W102,2026-01-14
CC-2023-18063,Calder Central,2023-10-06,2024-01-29,Complex,,W224,2026-01-14
CC-2025-10014,Calder Central,2025-01-15,2025-02-11,Review,Medium,W136,2026-01-14
CC-2023-22137,Weybridge,2023-08-02,2023-11-30,Complex,,W158,2026-01-14
CC-2024-90327,Weybridge,2024-07-19,2024-08-24,Standard,Low,W143,2026-01-14
CC-2025-16097,Calder Central,2025-05-11,2025-07-20,Standard,Medium,W242,2026-01-14
CC-2023-17033,Northgate,2023-12-26,2024-01-31,Standard,,W147,2026-01-14
CC-2023-18952,Northgate,2023-07-17,2023-08-28,Review,,W129,2026-01-14
CC-2025-22259,Northgate,2025-08-28,2025-10-14,Complex,Low,W195,2026-01-14
CC-2025-23495,Northgate,2025-05-11,2025-05-30,Expedited,Low,W112,2026-01-14
CC-2025-19258,Northgate,2025-01-26,2025-03-20,Complex,High,W148,2026-01-14
CC-2025-14657,Northgate,2025-05-04,2024-11-30,Standard,Low,W136,2026-01-14
CC-2024-21445,Weybridge,2024-07-07,2024-07-14,Expedited,Low,W151,2026-01-14
CC-2025-12798,Northgate,2025-02-13,2025-08-22,Complex,Low,W200,2026-01-14
CC-2023-21470,Northgate,2023-09-24,2023-10-26,Standard,,W104,2026-01-14
CC-2024-18330,Weybridge,2024-05-12,2024-05-22,Expedited,Low,W204,2026-01-14
CC-2025-17914,Northgate,2025-05-08,2025-07-13,Standard,Medium,W140,2026-01-14
CC-2025-18899,Weybridge,2025-12-26,,Complex,Medium,W249,2026-01-14
CC-2024-22913,Weybridge,2024-01-18,2024-02-19,Standard,,W247,2026-01-14
CC-2023-12210,Northgate,2023-09-01,2023-09-18,Standard,,W109,2026-01-14
CC-2023-16105,Calder Central,2023-10-13,2023-11-25,Review,,W160,2026-01-14
CC-2025-17417,Northgate,2025-10-07,2025-10-13,Expedited,Medium,W230,2026-01-14
CC-2024-19011,Northgate,2024-06-22,2024-07-10,Expedited,Low,W249,2026-01-14
CC-2023-22362,Calder Central,2023-12-20,2024-02-07,Review,,W245,2026-01-14
CC-2024-90155,Northgate,2024-01-17,2024-05-27,Appeal,,W144,2026-01-14
CC-2025-21932,Northgate,2025-06-24,2025-07-16,Standard,Low,W148,2026-01-14
CC-2024-19239,Weybridge,2024-11-04,2024-03-19,Standard,Low,W167,2026-01-14
CC-2025-90230,Northgate,2025-03-20,2025-04-11,Standard,High,W131,2026-01-14
CC-2024-16601,Weybridge,2024-06-15,,Complex,High,W198,2026-01-14
CC-2025-22527,Calder Central,2025-04-11,,Appeal,High,W230,2026-01-14
CC-2025-23373,Weybridge,2025-08-30,,Appeal,Low,W198,2026-01-14
CC-2024-18820,Calder Central,2024-07-16,2024-08-14,Standard,Medium,W196,2026-01-14
CC-2025-13715,Calder Central,2025-10-19,2025-12-22,Review,High,W160,2026-01-14
CC-2024-16449,Calder Central,2024-12-06,2024-12-21,Standard,Low,W217,2026-01-14
CC-2024-16579,Northgate,2024-12-15,2025-02-07,Complex,Low,W145,2026-01-14
CC-2025-19728,Weybridge,2025-08-01,2025-10-21,Standard,Medium,W197,2026-01-14
CC-2024-90540,Northgate,2024-09-22,2024-11-30,Complex,Medium,W134,2026-01-14
CC-2024-90272,Northgate,2024-02-20,2024-03-09,Review,,W142,2026-01-14
CC-2024-20891,Northgate,2024-03-22,2024-04-21,Standard,Medium,W212,2026-01-14
CC-2025-13956,Weybridge,2025-08-25,2025-10-11,Standard,Low,W241,2026-01-14
CC-2024-90563,Northgate,2024-04-25,2024-05-07,Standard,Low,W189,2026-01-14
CC-2023-11492,Northgate,2023-11-15,2024-03-06,Complex,,W246,2026-01-14
CC-2025-14363,Calder Central,2025-11-30,2025-12-20,Standard,Medium,W206,2026-01-14
CC-2025-14393,Northgate,2025-06-03,2025-06-15,Expedited,Medium,W132,2026-01-14
CC-2024-15664,Calder Central,2024-12-10,2025-02-02,Complex,Low,W166,2026-01-14
CC-2025-19638,Calder Central,2025-10-19,2025-12-05,Complex,Medium,W241,2026-01-14
CC-2024-12262,Weybridge,2024-11-13,2024-12-03,Standard,Medium,W185,2026-01-14
CC-2023-14595,Calder Central,2023-10-03,2023-11-04,Standard,,W105,2026-01-14
CC-2024-16404,Weybridge,2024-07-17,2024-07-21,Expedited,Medium,W179,2026-01-14
CC-2024-18407,Calder Central,2024-04-02,2024-06-02,Review,Low,W257,2026-01-14
CC-2025-13944,Calder Central,2025-02-06,2025-06-27,Complex,Medium,W167,2026-01-14
CC-2023-21042,Weybridge,2023-12-26,2024-01-18,Standard,,W217,2026-01-14
CC-2025-90102,Calder Central,2025-08-14,2025-08-28,Standard,Medium,W180,2026-01-14
CC-2025-23819,Weybridge,2025-01-12,2025-02-28,Standard,Low,W230,2026-01-14
CC-2024-90412,Calder Central,2024-11-16,2024-11-28,Expedited,Medium,W124,2026-01-14
CC-2023-20760,Calder Central,2023-10-14,2023-10-29,Standard,,W247,2026-01-14
CC-2024-90448,Weybridge,2024-03-10,2024-05-19,Complex,Medium,W190,2026-01-14
CC-2024-90567,Calder Central,2024-11-25,2024-12-12,Standard,Low,W127,2026-01-14
CC-2024-24044,Northgate,2024-03-27,2024-05-06,Complex,Low,W114,2026-01-14
CC-2025-13464,Weybridge,2025-08-30,2025-11-12,Complex,Low,W238,2026-01-14
CC-2025-90730,Calder Central,2025-05-04,2025-07-06,Standard,Medium,W224,2026-01-14
CC-2024-12461,Weybridge,2024-11-30,2025-03-27,Appeal,Low,W216,2026-01-14
CC-2024-20797,Calder Central,2024-07-19,2024-08-21,Standard,Medium,W156,2026-01-14
CC-2023-18309,Calder Central,2023-11-04,2023-12-18,Appeal,,W165,2026-01-14
CC-2024-10377,Weybridge,2024-11-05,2024-12-09,Expedited,Low,W152,2026-01-14
CC-2023-10654,Calder Central,2023-11-05,2023-12-04,Standard,,W195,2026-01-14
CC-2024-18145,Weybridge,2024-04-05,2024-04-24,Expedited,Low,W231,2026-01-14
CC-2024-13740,Northgate,2024-12-11,2024-12-17,Expedited,Low,W112,2026-01-14
CC-2025-15744,Weybridge,2025-10-09,2025-12-19,Standard,High,W188,2026-01-14
CC-2024-90756,Calder Central,2024-12-03,2024-12-24,Standard,Low,W136,2026-01-14
CC-2025-19140,Calder Central,2025-02-13,2024-08-08,Standard,Medium,W191,2026-01-14
CC-2023-10414,Calder Central,2023-08-28,2023-09-08,Expedited,,W187,2026-01-14
CC-2024-19148,Calder Central,2024-11-06,2025-01-17,Complex,Low,W240,2026-01-14
CC-2025-17618,Weybridge,2025-05-17,2025-08-06,Standard,Low,W127,2026-01-14
CC-2024-23719,Calder Central,2024-06-29,2024-07-24,Complex,Medium,W111,2026-01-14
CC-2024-90252,Weybridge,2024-06-30,2024-11-03,Complex,Low,W226,2026-01-14
CC-2025-17965,Calder Central,2025-08-08,2025-09-09,Standard,Low,W184,2026-01-14
CC-2023-23304,Weybridge,2023-09-08,2023-11-11,Complex,,W237,2026-01-14
CC-2025-11781,Calder Central,2025-10-13,,Complex,Low,W108,2026-01-14
CC-2023-12535,Calder Central,2023-12-22,2024-02-22,Complex,,W161,2026-01-14
CC-2025-10073,Northgate,2025-12-15,,Standard,Low,W243,2026-01-14
CC-2024-90075,Weybridge,2024-10-18,2025-04-29,Complex,Low,W194,2026-01-14
CC-2024-20647,Northgate,2024-06-26,2024-09-23,Complex,Medium,W197,2026-01-14
CC-2025-90148,Northgate,2025-07-21,2025-07-31,Standard,High,W209,2026-01-14
CC-2025-11808,Calder Central,2025-02-21,2025-04-21,Standard,Low,W184,2026-01-14
CC-2024-19152,Calder Central,2024-01-04,2024-01-21,Standard,,W227,2026-01-14
CC-2024-19271,Northgate,2024-10-17,2024-11-19,Standard,High,W194,2026-01-14
CC-2023-21285,Weybridge,2023-10-20,2023-11-14,Standard,,W152,2026-01-14
CC-2025-12734,Northgate,2025-11-25,2025-12-26,Standard,Low,W161,2026-01-14
CC-2024-10971,Northgate,2024-01-19,2024-03-11,Complex,,W144,2026-01-14
CC-2023-16028,Northgate,2023-08-16,2023-08-27,Expedited,,W232,2026-01-14
CC-2025-16572,Calder Central,2025-07-29,2025-08-11,Expedited,Low,W135,2026-01-14
CC-2024-20166,Calder Central,2024-08-02,2024-08-29,Standard,Medium,W137,2026-01-14
CC-2025-90292,Weybridge,2025-11-29,,Complex,Low,W258,2026-01-14
CC-2024-23529,Calder Central,2024-04-27,2024-06-04,Standard,Low,W196,2026-01-14
CC-2024-23275,Northgate,2024-03-23,2024-04-02,Expedited,Low,W167,2026-01-14
CC-2024-21021,Weybridge,2024-10-10,2024-11-14,Standard,High,W203,2026-01-14
CC-2024-16733,Calder Central,2024-04-24,2024-06-22,Complex,Low,W188,2026-01-14
CC-2023-14440,Calder Central,2023-08-20,2023-10-05,Standard,,W222,2026-01-14
CC-2025-16907,Weybridge,2025-11-11,,Review,High,W215,2026-01-14
CC-2023-13654,Calder Central,2023-10-02,2023-10-24,Standard,,W168,2026-01-14
CC-2023-19053,Northgate,2023-07-07,2023-10-07,Complex,,W107,2026-01-14
CC-2025-18640,Northgate,2025-07-27,2025-08-16,Standard,Medium,W209,2026-01-14
CC-2024-23383,Weybridge,2024-05-22,,Review,Medium,W145,2026-01-14
CC-2023-20218,Calder Central,2023-07-16,2023-07-27,Expedited,,W205,2026-01-14
CC-2024-15596,Weybridge,2024-06-23,2024-08-04,Standard,Low,W255,2026-01-14
CC-2023-19853,Northgate,2023-12-14,2024-01-17,Standard,,W240,2026-01-14
CC-2025-13764,Calder Central,2025-10-18,2025-11-04,Standard,Medium,W164,2026-01-14
CC-2025-90520,Weybridge,2025-06-09,,Complex,Medium,W201,2026-01-14
CC-2024-12532,Weybridge,2024-01-19,2024-03-11,Standard,,W173,2026-01-14
CC-2024-15151,Northgate,2024-04-18,2024-05-07,Standard,Medium,W211,2026-01-14
CC-2024-12549,Weybridge,2024-06-23,2024-07-20,Standard,Medium,W151,2026-01-14
CC-2024-15568,Northgate,2024-01-20,2024-02-10,Standard,,W105,2026-01-14
CC-2025-90587,Northgate,2025-06-17,2025-11-13,Complex,Medium,W204,2026-01-14
CC-2023-19191,Northgate,2023-08-03,2023-11-24,Complex,,W198,2026-01-14
CC-2025-22881,Weybridge,2025-08-10,2025-12-10,Complex,Low,W249,2026-01-14
CC-2025-21626,Calder Central,2025-08-05,2025-12-03,Appeal,Medium,W151,2026-01-14
CC-2025-17170,Weybridge,2025-10-03,,Appeal,Medium,W251,2026-01-14
CC-2023-20470,Calder Central,2023-07-07,2023-07-21,Standard,,W103,2026-01-14
CC-2024-90401,Calder Central,2024-08-31,2024-10-27,Standard,Low,W202,2026-01-14
CC-2025-14887,Calder Central,2025-11-04,2025-12-12,Standard,Medium,W168,2026-01-14
CC-2024-10668,Calder Central,2024-03-09,2024-03-23,Expedited,Medium,W119,2026-01-14
CC-2025-20686,Calder Central,2025-04-27,2025-06-18,Complex,Medium,W133,2026-01-14
CC-2024-16500,Weybridge,2024-06-23,2024-10-26,Complex,Low,W200,2026-01-14
CC-2025-90571,Calder Central,2025-12-07,2025-12-19,Expedited,Low,W215,2026-01-14
CC-2024-90009,Weybridge,2024-10-31,2024-12-18,Standard,Medium,W108,2026-01-14
CC-2023-22018,Weybridge,2023-09-19,2023-10-07,Standard,,W102,2026-01-14
CC-2025-21830,Calder Central,2025-11-09,,Review,Low,W142,2026-01-14
CC-2025-21353,Calder Central,2025-01-05,2025-02-17,Standard,Low,W180,2026-01-14
CC-2024-10179,Weybridge,2024-10-25,2025-04-10,Complex,High,W116,2026-01-14
CC-2024-23002,Northgate,2024-04-18,2024-05-12,Appeal,Medium,W227,2026-01-14
CC-2024-18261,Weybridge,2024-11-05,2025-01-07,Standard,Low,W218,2026-01-14
CC-2024-22066,Weybridge,2024-02-17,2024-04-24,Standard,,W233,2026-01-14
CC-2024-11140,Calder Central,2024-01-05,2024-01-26,Standard,,W121,2026-01-14
CC-2025-90190,Northgate,2025-04-11,2025-04-18,Expedited,Low,W153,2026-01-14
CC-2024-21156,Calder Central,2024-08-24,2024-10-23,Complex,Medium,W229,2026-01-14
CC-2025-19868,Weybridge,2025-06-23,2025-07-29,Expedited,Low,W155,2026-01-14
CC-2025-23173,Northgate,2025-03-15,2025-04-22,Standard,Low,W203,2026-01-14
CC-2025-15235,Weybridge,2025-11-03,,Complex,Low,W260,2026-01-14
CC-2025-10829,Northgate,2025-02-15,2025-06-14,Complex,Low,W237,2026-01-14
CC-2024-22222,Weybridge,2024-01-01,2024-01-09,Expedited,,W177,2026-01-14
CC-2025-23160,Northgate,2025-08-28,2025-10-25,Standard,Low,W260,2026-01-14
CC-2025-14463,Calder Central,2025-01-30,2025-03-26,Complex,Medium,W219,2026-01-14
CC-2023-19516,Calder Central,2023-07-28,2023-09-24,Standard,,W181,2026-01-14
CC-2023-20105,Northgate,2023-11-02,2023-12-13,Standard,,W255,2026-01-14
CC-2023-12733,Calder Central,2023-11-05,2024-01-09,Appeal,,W175,2026-01-14
CC-2025-22323,Weybridge,2025-07-02,2025-08-20,Standard,Medium,W213,2026-01-14
CC-2025-90619,Weybridge,2025-05-24,2025-11-26,Complex,High,W161,2026-01-14
CC-2025-13135,Weybridge,2025-08-23,2025-09-09,Appeal,High,W202,2026-01-14
CC-2023-20871,Calder Central,2023-09-08,2023-10-21,Standard,,W175,2026-01-14
CC-2024-12697,Calder Central,2024-08-04,2024-08-18,Expedited,High,W134,2026-01-14
CC-2025-13388,Northgate,2025-07-05,2025-07-31,Standard,Low,W253,2026-01-14
CC-2025-15530,Northgate,2025-08-14,2025-09-03,Standard,Low,W253,2026-01-14
CC-2025-14081,Northgate,2025-08-13,2025-10-07,Standard,Medium,W107,2026-01-14
CC-2024-21704,Calder Central,2024-06-13,2024-06-29,Standard,Medium,W202,2026-01-14
CC-2025-90268,Weybridge,2025-08-06,2025-09-08,Standard,Low,W176,2026-01-14
CC-2024-19471,Calder Central,2024-07-20,2025-01-19,Appeal,Medium,W228,2026-01-14
CC-2025-90513,Calder Central,2025-08-02,2025-08-22,Standard,Medium,W133,2026-01-14
CC-2024-16380,Northgate,2024-05-01,2024-07-12,Appeal,Low,W109,2026-01-14
CC-2024-90233,Calder Central,2024-04-13,2024-06-21,Standard,Medium,W183,2026-01-14
CC-2025-14485,Calder Central,2025-10-24,2025-11-05,Expedited,Medium,W111,2026-01-14
CC-2024-22150,Northgate,2024-10-09,2024-12-13,Standard,High,W236,2026-01-14
CC-2024-23947,Northgate,2024-10-11,2024-11-14,Review,Low,W180,2026-01-14
CC-2025-16192,Northgate,2025-01-29,2025-04-27,Expedited,Medium,W132,2026-01-14
CC-2025-18092,Calder Central,2025-08-16,2025-09-09,Standard,High,W113,2026-01-14
CC-2025-90313,Northgate,2025-06-16,2025-07-24,Complex,Low,W121,2026-01-14
CC-2024-20014,Northgate,2024-11-26,2024-12-28,Standard,Low,W152,2026-01-14
CC-2025-13399,Northgate,2025-12-07,,Standard,Low,W124,2026-01-14
CC-2025-17346,Weybridge,2025-10-15,2025-12-05,Standard,Low,W157,2026-01-14
CC-2023-20308,Weybridge,2023-10-11,2023-12-06,Appeal,,W126,2026-01-14
CC-2023-12087,Calder Central,2023-07-02,2023-09-06,Appeal,,W141,2026-01-14
CC-2024-19836,Weybridge,2024-06-29,2024-07-28,Review,Medium,W111,2026-01-14
CC-2024-16707,Northgate,2024-12-04,2024-12-25,Standard,Medium,W200,2026-01-14
CC-2025-90514,Northgate,2025-01-23,2025-05-17,Complex,Medium,W223,2026-01-14
CC-2024-10706,Calder Central,2024-06-05,2024-07-01,Standard,Medium,W119,2026-01-14
CC-2024-15087,Calder Central,2024-10-18,2025-02-13,Complex,Low,W194,2026-01-14
CC-2023-15967,Weybridge,2023-09-07,2023-10-22,Review,,W109,2026-01-14
CC-2023-18404,Calder Central,2023-11-15,2023-12-22,Standard,,W129,2026-01-14
CC-2023-15100,Northgate,2023-11-20,2023-12-24,Review,,W145,2026-01-14
CC-2025-19028,Calder Central,2025-10-12,2025-11-21,Appeal,High,W170,2026-01-14
CC-2023-22435,Weybridge,2023-09-13,2023-11-15,Standard,,W219,2026-01-14
CC-2025-22184,Calder Central,2025-10-28,,Complex,Medium,W214,2026-01-14
CC-2023-14633,Calder Central,2023-12-17,2024-02-26,Complex,,W120,2026-01-14
CC-2025-21368,Calder Central,2025-02-11,2025-02-23,Expedited,Medium,W154,2026-01-14
CC-2023-18431,Weybridge,2023-07-12,2023-08-29,Standard,,W148,2026-01-14
CC-2024-19878,Calder Central,2024-08-19,2024-09-27,Review,High,W214,2026-01-14
CC-2024-90759,Calder Central,2024-01-27,2024-02-19,Standard,,W167,2026-01-14
CC-2025-18415,Calder Central,2025-12-16,,Standard,Medium,W162,2026-01-14
CC-2024-14659,Weybridge,2024-05-01,2024-06-03,Review,Medium,W118,2026-01-14
CC-2024-15617,Calder Central,2024-05-03,2024-05-30,Standard,Low,W151,2026-01-14
CC-2025-20093,Calder Central,2025-01-05,2025-01-11,Expedited,Medium,W158,2026-01-14
CC-2024-90554,Northgate,2024-09-27,2024-11-12,Expedited,High,W198,2026-01-14
CC-2025-16638,Calder Central,2025-02-07,2025-03-04,Standard,Medium,W192,2026-01-14
CC-2025-19466,Northgate,2025-02-15,2025-04-13,Standard,High,W103,2026-01-14
CC-2025-19325,Northgate,2025-11-22,2025-12-14,Review,Medium,W236,2026-01-14
CC-2025-15067,Calder Central,2025-03-09,2025-04-25,Complex,Medium,W177,2026-01-14
CC-2025-16212,Northgate,2025-01-01,2025-02-01,Standard,Low,W191,2026-01-14
CC-2025-90385,Calder Central,2025-06-20,2025-08-27,Complex,Medium,W160,2026-01-14
CC-2024-14886,Northgate,2024-05-24,2024-07-01,Complex,Medium,W166,2026-01-14
CC-2025-11397,Northgate,2025-05-23,2025-06-24,Standard,Medium,W205,2026-01-14
CC-2024-14932,Northgate,2024-11-12,2025-01-01,Complex,High,W247,2026-01-14
CC-2023-18738,Northgate,2023-11-14,2023-12-10,Standard,,W198,2026-01-14
CC-2024-23800,Northgate,2024-06-01,2024-06-04,Expedited,Low,W232,2026-01-14
CC-2024-14092,Calder Central,2024-10-27,2024-11-26,Standard,Medium,W114,2026-01-14
CC-2024-90672,Northgate,2024-08-30,2024-09-14,Expedited,Medium,W235,2026-01-14
CC-2025-13591,Weybridge,2025-03-08,2025-03-27,Expedited,Medium,W218,2026-01-14
CC-2024-18706,Weybridge,2024-07-20,2024-08-20,Standard,Medium,W180,2026-01-14
CC-2024-11021,Weybridge,2024-01-20,2024-03-03,Appeal,,W196,2026-01-14
CC-2024-14891,Weybridge,2024-05-31,2024-07-19,Standard,Low,W212,2026-01-14
CC-2024-18770,Calder Central,2024-11-16,2024-12-02,Standard,Low,W174,2026-01-14
CC-2024-24183,Weybridge,2024-08-03,2024-10-24,Complex,Medium,W131,2026-01-14
CC-2024-17582,Weybridge,2024-10-06,2025-01-27,Standard,Low,W250,2026-01-14
CC-2023-11615,Calder Central,2023-11-18,2024-01-03,Complex,,W142,2026-01-14
CC-2024-19591,Weybridge,2024-10-13,2024-12-22,Expedited,High,W175,2026-01-14
CC-2023-23364,Northgate,2023-08-10,2023-08-25,Expedited,,W236,2026-01-14
CC-2024-15925,Calder Central,2024-05-14,2024-09-09,Complex,Low,W131,2026-01-14
CC-2025-90772,Calder Central,2025-08-02,2025-09-15,Complex,Low,W166,2026-01-14
CC-2023-15351,Weybridge,2023-09-09,2023-10-11,Standard,,W168,2026-01-14
CC-2024-22875,Calder Central,2024-08-08,2024-11-06,Complex,Low,W240,2026-01-14
CC-2025-90580,Calder Central,2025-06-27,2025-08-10,Review,Low,W239,2026-01-14
CC-2024-90275,Weybridge,2024-12-18,2025-05-02,Standard,Low,W255,2026-01-14
CC-2023-21722,Northgate,2023-12-14,2024-01-09,Standard,,W110,2026-01-14
CC-2025-22331,Weybridge,2025-08-28,,Complex,Medium,W125,2026-01-14
CC-2024-22033,Calder Central,2024-10-18,2025-05-18,Complex,Medium,W247,2026-01-14
CC-2024-11763,Calder Central,2024-10-28,2024-12-31,Complex,Low,W114,2026-01-14
CC-2025-13398,Calder Central,2025-01-27,2025-03-05,Review,Medium,W252,2026-01-14
CC-2025-22179,Calder Central,2025-06-04,2025-07-23,Standard,Low,W243,2026-01-14
CC-2025-10622,Calder Central,2025-11-07,2025-12-29,Standard,Medium,W202,2026-01-14
CC-2025-23047,Calder Central,2025-02-21,2025-03-14,Review,Low,W206,2026-01-14
CC-2025-19530,Calder Central,2025-02-02,2025-03-18,Standard,Low,W104,2026-01-14
CC-2025-90397,Northgate,2025-02-19,2025-04-16,Review,Medium,W142,2026-01-14
CC-2024-20937,Northgate,2024-12-07,2025-01-15,Standard,Low,W142,2026-01-14
CC-2023-16996,Weybridge,2023-12-25,2024-02-11,Standard,,W173,2026-01-14
CC-2024-12126,Calder Central,2024-02-26,2024-04-03,Standard,,W148,2026-01-14
CC-2025-19136,Northgate,2025-07-24,2025-08-24,Appeal,High,W190,2026-01-14
CC-2023-23963,Calder Central,2023-08-12,2023-09-27,Standard,,W245,2026-01-14
CC-2024-23004,Calder Central,2024-05-27,2024-06-08,Expedited,Medium,W139,2026-01-14
CC-2023-21982,Calder Central,2023-07-15,2023-08-26,Review,,W239,2026-01-14
CC-2024-12730,Northgate,2024-08-27,2024-09-28,Standard,Medium,W146,2026-01-14
CC-2025-15158,Northgate,2025-11-07,2025-11-30,Complex,Low,W120,2026-01-14
CC-2024-17450,Northgate,2024-10-07,2025-02-08,Complex,Medium,W198,2026-01-14
CC-2025-90207,Calder Central,2025-10-11,2025-11-08,Standard,Low,W192,2026-01-14
CC-2024-22424,Calder Central,2024-09-13,2024-09-22,Expedited,Medium,W100,2026-01-14
CC-2024-17925,Weybridge,2024-04-29,2024-07-19,Complex,Medium,W155,2026-01-14
CC-2024-13121,Northgate,2024-11-06,2024-11-29,Standard,Medium,W168,2026-01-14
CC-2025-14988,Weybridge,2025-10-30,,Standard,High,W221,2026-01-14
CC-2024-11170,Northgate,2024-10-26,2025-02-01,Complex,Medium,W110,2026-01-14
